,depth,lat,lon,modtemp,obstemp,time
0,[  2.  11.  12.  13.  15.  18.  19.  25.  26.  50.],38.644390076000001,-74.130851629999981,"[16.94014, 16.935511, 16.935511, 16.934448, 16.931526, 16.924189, 16.924189, 13.483816, 11.729701, 6.4385052]","[ 16.95   16.485  15.818  14.761  13.9    13.232  12.767   8.956   8.661
   8.5  ]",2013-06-03 16:00:00
1,[  2.   9.  11.  12.  13.  21.  23.  25.  27.  47.],38.723253247999999,-74.053988910000001,"[16.59351, 16.594534, 16.593214, 16.591959, 16.590006, 16.06443, 15.182926, 11.442201, 9.8632183, 6.5906096]","[ 16.81   16.608  15.785  14.794  14.366  12.257  10.972   8.998   8.469
   8.41 ]",2013-06-04 12:00:00
2,[  2.   5.   7.  12.  18.  20.  21.  22.  24.  41.],38.875469054,-73.933837690000004,"[16.064695, 16.059862, 16.057257, 16.006014, 14.641868, 13.891215, 13.891215, 13.281, 10.604731, 6.5176516]","[ 17.89   17.422  16.66   16.082  12.052  11.152  10.216  10.041   8.921
   8.71 ]",2013-06-06 20:00:00
3,[ 2.  3.  4.  5.  6.  7.  7.  7.  7.  7.],36.855698578999998,-75.095743839999983,"[24.536627, 24.536768, 24.536877, 24.536966, 24.537037, 24.537094, 24.537094, 24.537094, 24.537094, 24.537094]","[ 24.79   24.79   24.764  24.727  24.559  24.32   24.32   24.32   24.32
  24.32 ]",2013-07-06 04:00:00
4,[  2.   6.   8.   9.  12.  13.  15.  17.  30.  37.],36.855178707,-75.09646798,"[25.039328, 25.040377, 25.039318, 25.035454, 24.998383, 24.939434, 24.551205, 22.161333, 14.70562, 14.705617]","[ 25.39   24.24   22.929  21.153  18.299  16.479  14.645  13.786  10.83
  10.932]",2013-07-07 00:00:00
5,[  2.   7.   9.  10.  11.  13.  16.  17.  27.  31.],36.877208781,-75.083898669999982,"[24.745855, 24.749723, 24.750406, 24.750572, 24.750523, 24.747631, 24.64867, 24.372778, 15.853532, 14.762923]","[ 25.23   24.595  22.503  20.757  14.869  14.076  13.729  13.167  10.901
  10.8  ]",2013-07-07 04:00:00
6,[  2.   6.   7.   8.  10.  11.  13.  27.  29.  33.],36.861707693,-75.104326169999979,"[24.671774, 24.67256, 24.672518, 24.672359, 24.670542, 24.668886, 24.656996, 14.978443, 14.38087, 14.307909]","[ 25.36   25.19   24.524  23.518  16.745  15.356  14.407  12.069  11.233
  11.19 ]",2013-07-08 04:00:00
7,[  2.   4.   6.   7.   9.  10.  11.  13.  30.  36.],36.854171485999998,-75.074080559999999,"[24.763407, 24.761257, 24.75618, 24.751974, 24.73885, 24.729858, 24.718981, 24.683971, 15.465752, 14.855721]","[ 25.4    24.7    22.993  21.621  17.609  16.69   14.924  13.772  10.912
  10.81 ]",2013-07-08 16:00:00
8,[  2.   6.   8.   9.  11.  12.  13.  15.  16.  38.],36.836983595999996,-75.095048869999999,"[24.964554, 24.962349, 24.95857, 24.955189, 24.920815, 24.870626, 24.782728, 24.540689, 24.284672, 14.312126]","[ 25.66   24.956  23.459  22.315  17.826  17.43   15.303  14.203  13.176
  10.99 ]",2013-07-08 20:00:00
9,[  2.   6.   8.  10.  11.  12.  13.  18.  27.  34.],36.892263808000003,-75.10456859,"[25.079863, 25.081306, 25.081837, 25.082388, 25.08275, 25.083271, 25.08408, 24.395536, 17.162952, 14.961526]","[ 25.62   25.391  24.431  24.374  16.856  15.338  14.665  12.975  11.629
  11.3  ]",2013-07-10 04:00:00
